,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
7768,EC-3.1.1.79,"['CPD-12600', 'WATER']","['ARACHIDONIC_ACID', 'GLYCEROL', 'PROTON']",-5.4871826
7769,EC-3.1.1.79,"['Triacylglycerides', 'WATER']","['Diacylglycerides', 'Fatty-Acids', 'PROTON']", 109.46178
7770,EC-3.1.1.79,"['1-2-Diglycerides', 'WATER']","['CPD-409', 'Fatty-Acids', 'PROTON']", -13.038223
7771,EC-3.1.1.79,"['Monoacylglycerols', 'WATER']","['GLYCEROL', 'Fatty-Acids', 'PROTON']", 'No-Data'
7772,EC-3.1.1.79,"['Diacylglycerides', 'WATER']","['Monoacylglycerols', 'Fatty-Acids', 'PROTON']", 'No-Data'
7773,EC-3.1.1.8,"['CPD-8898', 'WATER']","['CPD-14751', 'ACET', 'PROTON']",-4.2871246
7774,EC-3.1.1.80,"['17-O-ACETYLNORAJMALINE', 'WATER']","['CPD-4241', 'ACET', 'PROTON']",-4.2871094
7775,EC-3.1.1.81,"['CPD-10781', 'WATER']","['PROTON', 'CPD-10801']",-9.9471245
7776,EC-3.1.1.81,"['Acyl-homoserine-lactones', 'WATER']","['Acyl-homoserines', 'PROTON']", -20.218231
7777,EC-3.1.1.81,"['CPD-10785', 'WATER']","['PROTON', 'CPD-10805']", -9.947128
7778,EC-3.1.1.81,"['CPD-10782', 'WATER']","['PROTON', 'CPD-10800']", -9.947117
7779,EC-3.1.1.81,"['CPD-10784', 'WATER']","['PROTON', 'CPD-10803']", -9.947117
7780,EC-3.1.1.81,"['CPD-10783', 'WATER']","['PROTON', 'CPD-10802']", -9.947136
7781,EC-3.1.1.82,"['CPD-10064', 'WATER']","['PROTON', 'CPD-10065']",-11.26712
7782,EC-3.1.1.83,"['6-isopropenyl-3-methyloxepan-2-one', 'WATER']","['6-H-5-I-2-methylhexanoates', 'PROTON']",-11.26712
7783,EC-3.1.1.83,"['4-isopropenyl-7-methyloxepan-2-one', 'WATER']","['6-Hydroxy-3-isopropenylheptanoates', 'PROTON']", -11.26712
